id,省id,名称,,
1,9,上海,,
2,1,北京,,
3,19,广州,,
4,17,武汉,,
5,2,天津,,
6,22,重庆,,
7,10,南京,,
8,23,成都,,
9,6,沈阳,,
10,11,杭州,,
11,19,深圳,,
12,27,西安,,
13,7,长春,,
14,10,苏州,,
16,15,济南,,
17,10,无锡,,
18,15,青岛,,
19,13,厦门,,
20,6,大连,,
21,16,郑州,,
22,13,福州,,
23,8,哈尔滨,,
25,11,宁波,,
26,3,石家庄,,
27,19,东莞,,
28,19,佛山,,
29,18,长沙,,
30,25,昆明,,
31,12,合肥,,
32,4,太原,,
33,14,南昌,,
34,24,贵阳,,
35,10,常州,,
36,19,珠海,,
37,20,南宁,,
38,10,扬州,,
39,28,兰州,,
40,11,温州,,
41,10,南通,,
42,21,海口,,
43,31,乌鲁木齐,,
44,5,呼和浩特,,
45,11,嘉兴,,
46,29,西宁,,
47,11,绍兴,,
50,25,丽江,,
51,21,三亚,,
52,20,桂林,,
53,10,镇江,,
54,10,徐州,,
55,19,汕头,,
56,15,烟台,,
57,3,秦皇岛,,
58,3,保定,,
59,16,洛阳,,
60,13,泉州,,
61,19,中山,,
62,30,银川,,
63,15,潍坊,,
64,15,威海,,
65,11,金华,,
66,3,廊坊,,
67,19,江门,,
68,11,舟山,,
69,11,台州,,
70,3,邢台,,
71,19,惠州,,
72,3,邯郸,,
73,23,绵阳,,
74,3,唐山,,
75,10,连云港,,
76,11,湖州,,
77,26,拉萨,,
78,14,赣州,,
79,16,新乡,,
80,19,阳江,,
81,15,淄博,,
82,12,黄山,,
83,15,泰安,,
84,25,大理,,
85,15,临沂,,
86,23,乐山,,
87,15,德州,,
88,6,鞍山,,
89,15,济宁,,
90,7,吉林,,
91,19,肇庆,,
92,10,泰州,,
93,10,淮安,,
94,17,宜昌,,
95,10,盐城,,
96,19,茂名,,
97,8,大庆,,
98,4,大同,,
99,15,东营,,
100,23,自贡,,
101,27,宝鸡,,
102,19,韶关,,
103,14,九江,,
104,3,沧州,,
105,27,咸阳,,
106,23,德阳,,
107,5,包头,,
108,18,张家界,,
109,15,日照,,
110,23,南充,,
111,19,湛江,,
112,12,芜湖,,
113,6,锦州,,
114,19,清远,,
115,16,南阳,,
116,16,许昌,,
117,25,西双版纳,,
118,16,开封,,
119,6,抚顺,,
120,6,葫芦岛,,
121,20,柳州,,
122,12,蚌埠,,
123,14,上饶,,
124,17,荆州,,
125,15,聊城,,
126,23,达州,,
127,18,湘西,,
128,3,承德,,
129,19,梅州,,
130,23,宜宾,,
131,6,丹东,,
132,14,宜春,,
133,6,营口,,
134,13,三明,,
135,23,凉山,,
136,31,巴音郭楞,,
137,3,张家口,,
138,12,安庆,,
139,8,牡丹江,,
140,15,枣庄,,
141,13,宁德,,
142,18,衡阳,,
143,18,株洲,,
144,15,滨州,,
145,13,龙岩,,
146,23,遂宁,,
147,16,安阳,,
148,8,齐齐哈尔,,
149,16,焦作,,
150,17,襄阳,,
151,14,吉安,,
152,4,吕梁,,
153,17,黄冈,,
154,12,马鞍山,,
155,23,阿坝,,
156,20,北海,,
157,23,雅安,,
158,12,滁州,,
159,23,广安,,
160,23,攀枝花,,
161,16,信阳,,
162,11,衢州,,
163,6,盘锦,,
164,23,泸州,,
165,12,淮南,,
166,23,内江,,
167,25,红河,,
168,13,莆田,,
169,12,宿州,,
170,17,十堰,,
171,5,呼伦贝尔,,
172,27,渭南,,
173,17,黄石,,
174,18,湘潭,,
175,13,漳州,,
176,7,白城,,
177,25,迪庆,,
178,20,梧州,,
179,16,平顶山,,
180,23,眉山,,
181,5,赤峰,,
182,19,河源,,
183,18,岳阳,,
184,6,本溪,,
185,6,辽阳,,
186,12,宣城,,
187,24,遵义,,
188,27,汉中,,
189,23,广元,,
190,18,常德,,
191,15,菏泽,,
