id,城市id,名称,,
3,2,东城区,,
208,2,西城区,,
479,2,朝阳区,,
1096,2,丰台区,,
1480,2,石景山区,,
1632,2,海淀区,,
2316,2,门头沟区,,
2611,2,房山区,,
3225,2,通州区,,
3825,2,顺义区,,
4371,2,昌平区,,
4884,2,大兴区,,
5604,2,怀柔区,,
5939,2,平谷区,,
6261,2,密云区,,
6709,2,延庆区,,
7152,5,和平区,,
7222,5,河东区,,
7394,5,河西区,,
7579,5,南开区,,
7772,5,河北区,,
7892,5,红桥区,,
8099,5,东丽区,,
8309,5,西青区,,
8580,5,津南区,,
8829,5,北辰区,,
9092,5,武清区,,
9890,5,宝坻区,,
10723,5,滨海新区,,
11165,5,宁河区,,
11501,5,静海区,,
11952,5,蓟州区,,
12963,26,长安区,,
13080,26,桥东区,,
13160,26,桥西区,,
13281,26,新华区,,
13404,26,井陉矿区,,
13464,26,裕华区,,
13587,26,井陉县,,
13927,26,正定县,,
14125,26,栾城区,,
14320,26,行唐县,,
14666,26,灵寿县,,
14965,26,高邑县,,
15078,26,深泽县,,
15211,26,赞皇县,,
15436,26,无极县,,
15665,26,平山县,,
16406,26,元氏县,,
16635,26,赵县,,
16928,26,辛集市,,
17304,26,藁城区,,
17565,26,晋州市,,
17800,26,新乐市,,
17983,26,鹿泉区,,
18219,74,路南区,,
18419,74,路北区,,
18616,74,古冶区,,
18827,74,开平区,,
19003,74,丰南区,,
19522,74,丰润区,,
20179,74,曹妃甸区,,
20337,74,滦县,,
20881,74,滦南县,,
21505,74,乐亭县,,
22081,74,迁西县,,
22529,74,玉田县,,
22985,74,遵化市,,
23705,74,迁安市,,
24277,57,海港区,,
24568,57,山海关区,,
24725,57,北戴河区,,
24766,57,青龙满族自治县,,
25192,57,昌黎县,,
25680,57,抚宁区,,
26281,57,卢龙县,,
26845,72,邯山区,,
26954,72,丛台区,,
27045,72,复兴区,,
27119,72,峰峰矿区,,
27345,72,邯郸县,,
27597,72,临漳县,,
28037,72,成安县,,
28281,72,大名县,,
28953,72,涉县,,
29285,72,磁县,,
29696,72,肥乡区,,
29969,72,永年区,,
30441,72,邱县,,
30674,72,鸡泽县,,
30853,72,广平县,,
31030,72,馆陶县,,
31316,72,魏县,,
31899,72,曲周县,,
32252,72,武安市,,
32796,70,桥东区,,
32886,70,桥西区,,
32997,70,邢台县,,
33628,70,临城县,,
33857,70,内丘县,,
34180,70,柏乡县,,
34308,70,隆尧县,,
34600,70,任县,,
34804,70,南和县,,
35035,70,宁晋县,,
35420,70,巨鹿县,,
35722,70,新河县,,
35898,70,广宗县,,
36120,70,平乡县,,
36381,70,威县,,
36921,70,清河县,,
37257,70,临西县,,
37572,70,南宫市,,
38052,70,沙河市,,
38378,58,竞秀区,,
38553,58,莲池区,,
38677,58,南市区,,
38790,58,满城区,,
39018,58,清苑区,,
39309,58,涞水县,,
39616,58,阜平县,,
39840,58,徐水区,,
40182,58,定兴县,,
40480,58,唐县,,
40854,58,高阳县,,
41044,58,容城县,,
41180,58,涞源县,,
41491,58,望都县,,
41650,58,安新县,,
41875,58,易县,,
42372,58,曲阳县,,
42764,58,蠡县,,
43016,58,顺平县,,
43268,58,博野县,,
43410,58,雄县,,
43650,58,涿州市,,
44108,58,定州市,,
44651,58,安国市,,
44867,58,高碑店市,,
45345,137,桥东区,,
45428,137,桥西区,,
45507,137,宣化区,,
45620,137,下花园区,,
45684,137,宣化区,,
46016,137,张北县,,
46437,137,康保县,,
46790,137,沽源县,,
47054,137,尚义县,,
47247,137,蔚县,,
47831,137,阳原县,,
48153,137,怀安县,,
48447,137,万全区,,
48641,137,怀来县,,
48959,137,涿鹿县,,
49359,137,赤城县,,
49818,137,崇礼区,,
50047,128,双桥区,,
50225,128,双滦区,,
50315,128,鹰手营子矿区,,
50346,128,承德县,,
50756,128,兴隆县,,
51075,128,平泉县,,
51367,128,滦平县,,
51602,128,隆化县,,
51995,128,丰宁满族自治县,,
52342,128,宽城满族自治县,,
52571,128,围场满族蒙古族自治县,,
52933,104,新华区,,
53004,104,运河区,,
53130,104,沧县,,
53666,104,青县,,
54041,104,东光县,,
54508,104,海兴县,,
54723,104,盐山县,,
55190,104,肃宁县,,
55459,104,南皮县,,
55787,104,吴桥县,,
56280,104,献县,,
56812,104,孟村回族自治县,,
56947,104,泊头市,,
57674,104,任丘市,,
58148,104,黄骅市,,
58586,104,河间市,,
59238,66,安次区,,
59556,66,广阳区,,
59802,66,固安县,,
60241,66,永清县,,
60652,66,香河县,,
60976,66,大城县,,
61391,66,文安县,,
61797,66,大厂回族自治县,,
61914,66,霸州市,,
62321,66,三河市,,
62765,207,桃城区,,
63189,207,枣强县,,
63760,207,武邑县,,
64315,207,武强县,,
64563,207,饶阳县,,
64771,207,安平县,,
65010,207,故城县,,
65562,207,景县,,
66431,207,阜城县,,
67052,207,冀州区,,
67474,207,深州市,,
67965,32,小店区,,
68146,32,迎泽区,,
68270,32,杏花岭区,,
68431,32,尖草坪区,,
68594,32,万柏林区,,
68763,32,晋源区,,
68884,32,清徐县,,
69106,32,阳曲县,,
69258,32,娄烦县,,
69416,32,古交市,,
69617,98,城区,,
69769,98,矿区,,
69903,98,南郊区,,
70103,98,新荣区,,
70257,98,阳高县,,
70542,98,天镇县,,
70787,98,广灵县,,
70981,98,灵丘县,,
71260,98,浑源县,,
71603,98,左云县,,
71849,98,大同县,,
72057,209,城区,,
72108,209,矿区,,
72153,209,郊区,,
72361,209,平定县,,
72708,209,盂县,,
73183,206,城区,,
73283,206,郊区,,
73434,206,长治县,,
73706,206,襄垣县,,
74051,206,屯留县,,
74362,206,平顺县,,
74637,206,黎城县,,
74902,206,壶关县,,
75309,206,长子县,,
75723,206,武乡县,,
76119,206,沁县,,
76445,206,沁源县,,
76720,206,潞城市,,
76935,267,城区,,
77091,267,沁水县,,
77357,267,阳城县,,
77850,267,陵川县,,
78242,267,泽州县,,
78900,267,高平市,,
79384,294,朔城区,,
79755,294,平鲁区,,
80129,294,山阴县,,
80419,294,应县,,
80739,294,右玉县,,
81085,294,怀仁县,,
81287,198,榆次区,,
81664,198,榆社县,,
81952,198,左权县,,
82175,198,和顺县,,
82485,198,昔阳县,,
82837,198,寿阳县,,
83066,198,太谷县,,
83287,198,祁县,,
83466,198,平遥县,,
83773,198,灵石县,,
84111,198,介休市,,
84393,205,盐湖区,,
84775,205,临猗县,,
85176,205,万荣县,,
85477,205,闻喜县,,
85843,205,稷山县,,
86051,205,新绛县,,
86294,205,绛县,,
86518,205,垣曲县,,
86730,205,夏县,,
87003,205,平陆县,,
87245,205,芮城县,,
87436,205,永济市,,
87741,205,河津市,,
87921,271,忻府区,,
88360,271,定襄县,,
88526,271,五台县,,
89119,271,代县,,
89509,271,繁峙县,,
89935,271,宁武县,,
90427,271,静乐县,,
90823,271,神池县,,
91076,271,五寨县,,
91339,271,岢岚县,,
91554,271,河曲县,,
91909,271,保德县,,
92273,271,偏关县,,
92533,271,原平市,,
93099,192,尧都区,,
93560,192,曲沃县,,
93727,192,翼城县,,
